rsid,metabolite_id,p,gene,study,biochemical_name
rs10468017,metabolite_100009078,7.234e-71,LIPC,Yin et. al. 2022,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*
rs10468017,metabolite_100009219,4.261e-68,LIPC,Yin et. al. 2022,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*
rs10468017,metabolite_100015586,1.274e-12,LIPC,Yin et. al. 2022,1-palmityl-2-palmitoyl-GPC (O-16:0/16:0)*
rs10468017,metabolite_1526,7.396e-77,LIPC,Yin et. al. 2022,1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
rs2043085,metabolite_100001567,1.39e-51,LIPC,Yin et. al. 2022,1-palmitoyl-GPE (16:0)
rs2043085,metabolite_100009162,1.896e-14,LIPC,Yin et. al. 2022,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*
rs35609148,metabolite_100001571,1.37e-25,LIPC,Yin et. al. 2022,1-arachidonoyl-GPE (20:4n6)*
rs35609148,metabolite_100009160,3.09e-12,LIPC,Yin et. al. 2022,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*
rs397923,metabolite_100001674,1.744e-11,LIPC,Yin et. al. 2022,2-arachidonoyl-GPE (20:4)*
rs13329672,metabolite_100008991,1.945e-14,LIPC,Yin et. al. 2022,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*
rs16940262,metabolite_100008990,2.078e-13,LIPC,Yin et. al. 2022,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*
rs16940262,metabolite_100008991,2.986e-13,LIPC,Yin et. al. 2022,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*
rs35980001,metabolite_100001652,3.796e-21,LIPC,Yin et. al. 2022,2-palmitoyl-GPE (16:0)*
rs1077835,metabolite_100001461,4.948e-32,LIPC,Yin et. al. 2022,1-stearoyl-GPE (18:0)
rs1077835,metabolite_100001567,2.312e-36,LIPC,Yin et. al. 2022,1-palmitoyl-GPE (16:0)
rs1077835,metabolite_100001674,5.542e-13,LIPC,Yin et. al. 2022,2-arachidonoyl-GPE (20:4)*
rs1077835,metabolite_100003901,1.442e-14,LIPC,Yin et. al. 2022,2-stearoyl-GPE (18:0)*
rs1077835,metabolite_100008990,4.838e-97,LIPC,Yin et. al. 2022,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*
rs1077835,metabolite_100008992,1.046e-63,LIPC,Yin et. al. 2022,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*
rs1077834,metabolite_100001856,3.085e-35,LIPC,Yin et. al. 2022,1-stearoyl-2-oleoyl-GPE (18:0/18:1)
rs1077834,metabolite_100001870,1.596e-65,LIPC,Yin et. al. 2022,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)
rs1077834,metabolite_100008976,1.928e-48,LIPC,Yin et. al. 2022,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*
rs1077834,metabolite_100008977,1.183e-63,LIPC,Yin et. al. 2022,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
rs1077834,metabolite_100008991,2.47e-127,LIPC,Yin et. al. 2022,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*
rs1077834,metabolite_100009078,2.772e-51,LIPC,Yin et. al. 2022,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*
rs1077834,metabolite_100009219,1.017e-57,LIPC,Yin et. al. 2022,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*
rs1077834,metabolite_1526,1.792e-52,LIPC,Yin et. al. 2022,1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
rs1800588,metabolite_100001569,9.71e-16,LIPC,Yin et. al. 2022,1-oleoyl-GPE (18:1)
rs2070895,metabolite_100001571,2.613e-17,LIPC,Yin et. al. 2022,1-arachidonoyl-GPE (20:4n6)*
rs71116564,metabolite_100005371,2.399e-19,LIPC,Yin et. al. 2022,1-dihomo-linolenoyl-GPE (20:3n3 or 6)*
rs261332,metabolite_100002060,1.815e-20,LIPC,Yin et. al. 2022,1-docosahexaenoyl-GPE (22:6)*
rs588136,metabolite_100002171,2.966e-13,LIPC,Yin et. al. 2022,1-margaroyl-GPE (17:0)*
rs113298164,metabolite_100001461,4.376e-17,LIPC,Yin et. al. 2022,1-stearoyl-GPE (18:0)
rs113298164,metabolite_100001567,5.374e-18,LIPC,Yin et. al. 2022,1-palmitoyl-GPE (16:0)
rs113298164,metabolite_100001652,7.831e-14,LIPC,Yin et. al. 2022,2-palmitoyl-GPE (16:0)*
rs113298164,metabolite_100001856,2.356e-18,LIPC,Yin et. al. 2022,1-stearoyl-2-oleoyl-GPE (18:0/18:1)
rs113298164,metabolite_100001870,5.093e-34,LIPC,Yin et. al. 2022,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)
rs113298164,metabolite_100002060,3.449e-11,unknown,Yin et. al. 2022,1-docosahexaenoyl-GPE (22:6)*
rs113298164,metabolite_100002171,1.176e-12,LIPC,Yin et. al. 2022,1-margaroyl-GPE (17:0)*
rs113298164,metabolite_100003901,2.229e-11,LIPC,Yin et. al. 2022,2-stearoyl-GPE (18:0)*
rs113298164,metabolite_100008976,1.499e-23,LIPC,Yin et. al. 2022,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*
rs113298164,metabolite_100008977,4.81e-25,LIPC,Yin et. al. 2022,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
rs113298164,metabolite_100008990,3.883e-42,LIPC,Yin et. al. 2022,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*
rs113298164,metabolite_100008991,1.142e-61,LIPC,Yin et. al. 2022,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*
rs113298164,metabolite_100008992,1.812e-28,LIPC,Yin et. al. 2022,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*
rs113298164,metabolite_100009078,2.964e-29,LIPC,Yin et. al. 2022,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*
rs113298164,metabolite_100009219,3.704e-27,LIPC,Yin et. al. 2022,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*
rs113298164,metabolite_1526,2.62e-24,LIPC,Yin et. al. 2022,1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
rs139080301,metabolite_100008990,2.758e-12,LIPC,Yin et. al. 2022,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*
rs189796619,metabolite_100001948,7.825e-94,LACTB,Yin et. al. 2022,succinylcarnitine (C4-DC)
rs200127857,metabolite_100001948,2.373e-45,LACTB,Yin et. al. 2022,succinylcarnitine (C4-DC)
rs200480788,metabolite_100001948,3.957e-19,LACTB,Yin et. al. 2022,succinylcarnitine (C4-DC)
rs6494396,metabolite_100001948,7.848e-17,LACTB,Yin et. al. 2022,succinylcarnitine (C4-DC)
rs2472297,metabolite_100000437,4.597e-21,CYP1A2,Yin et. al. 2022,theophylline
rs2472297,metabolite_100000453,5.02e-11,CYP1A2,Yin et. al. 2022,paraxanthine
rs2472297,metabolite_100001397,1.938e-12,CYP1A2,Yin et. al. 2022,"1,3,7-trimethylurate"
rs2472297,metabolite_100001399,2.233e-13,CYP1A2,Yin et. al. 2022,"1,7-dimethylurate"
rs2472297,metabolite_849,1.239e-32,CYP1A2,Yin et. al. 2022,caffeine
rs1011157201,metabolite_849,1.425e-15,CYP1A2,Yin et. al. 2022,caffeine
rs17456573,metabolite_100004227,6.33e-11,ETFA,Yin et. al. 2022,2-aminooctanoate
rs17456573,metabolite_100020204,4.573e-14,ETFA,Yin et. al. 2022,N-acetyl-2-aminooctanoate*
rs17456573,metabolite_100020833,2.382e-13,ETFA,Yin et. al. 2022,2-ketocaprylate
rs79495512,metabolite_806,1.636e-12,ETFA,Yin et. al. 2022,dimethylglycine
rs2959850,metabolite_100001055,7.867e-13,ETFA,Yin et. al. 2022,isobutyrylcarnitine (C4)
rs2291449,metabolite_100001054,9.445e-12,ETFA,Yin et. al. 2022,butyrylcarnitine (C4)
rs2291449,metabolite_100001393,1.322e-11,ETFA,Yin et. al. 2022,isovalerylcarnitine (C5)
rs2291449,metabolite_100001593,2.682e-19,ETFA,Yin et. al. 2022,glutarylcarnitine (C5-DC)
rs201135688,metabolite_100000054,6.833e-22,HYKK,Yin et. al. 2022,5-hydroxylysine
rs183603441,metabolite_100000054,1.048e-67,HYKK,Yin et. al. 2022,5-hydroxylysine
rs12910100,metabolite_100000054,3.003e-22,HYKK,Yin et. al. 2022,5-hydroxylysine
rs3885951,metabolite_100000054,1.069e-115,HYKK,Yin et. al. 2022,5-hydroxylysine
rs4887062,metabolite_100000054,3.619e-152,HYKK,Yin et. al. 2022,5-hydroxylysine
rs12148896,metabolite_100001425,6.017e-12,SLC28A1,Yin et. al. 2022,"5,6-dihydrouridine"
rs4843007,metabolite_827,4.807e-14,SLC28A1,Yin et. al. 2022,cytidine
rs62021453,metabolite_827,3.191e-14,SLC28A1,Yin et. al. 2022,cytidine
rs55990066,metabolite_100001413,1.165e-22,SLC28A1,Yin et. al. 2022,N4-acetylcytidine
rs55990066,metabolite_100001425,1.515e-31,SLC28A1,Yin et. al. 2022,"5,6-dihydrouridine"
rs55990066,metabolite_821,6.328e-13,SLC28A1,Yin et. al. 2022,pseudouridine
rs55990066,metabolite_827,7.419e-24,SLC28A1,Yin et. al. 2022,cytidine
rs28463231,metabolite_100002293,2.942e-12,ANPEP,Yin et. al. 2022,phenylalanylphenylalanine
rs55650311,metabolite_100020478,2.103e-14,ECI1,Yin et. al. 2022,dodecadienoate (12:2)*
rs1741,metabolite_100009051,2.28e-29,PLA2G10,Yin et. al. 2022,1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)*
rs1741,metabolite_100009148,4.753e-21,PLA2G10,Yin et. al. 2022,1-oleoyl-2-dihomo-linolenoyl-GPC (18:1/20:3)*
rs111536178,metabolite_100001552,1.486e-19,PLA2G10,Yin et. al. 2022,1-dihomo-linolenoyl-GPC (20:3n3 or 6)*
rs3803573,metabolite_100005371,8.062e-12,PLA2G10,Yin et. al. 2022,1-dihomo-linolenoyl-GPE (20:3n3 or 6)*
rs924135,metabolite_100001247,2.922e-19,unknown,Yin et. al. 2022,octanoylcarnitine (C8)
rs924135,metabolite_100001251,8.957e-18,unknown,Yin et. al. 2022,decanoylcarnitine (C10)
rs924135,metabolite_100001392,2.802e-17,unknown,Yin et. al. 2022,laurylcarnitine (C12)
rs924135,metabolite_100002259,1.584e-13,unknown,Yin et. al. 2022,cis-4-decenoylcarnitine (C10:1)
rs924135,metabolite_100006620,7.361e-16,unknown,Yin et. al. 2022,nonanoylcarnitine (C9)
rs924135,metabolite_100021136,1.339e-11,unknown,Yin et. al. 2022,3-decenoylcarnitine
rs924135,metabolite_1224,1.433e-17,ABCC1,Yin et. al. 2022,"cys-gly, oxidized"
rs6145768,metabolite_100006051,3.792e-12,unknown,Yin et. al. 2022,myristoleoylcarnitine (C14:1)*
rs924138,metabolite_100001295,2.07e-15,unknown,Yin et. al. 2022,gamma-glutamyltryptophan
rs924138,metabolite_100001948,1.684e-18,unknown,Yin et. al. 2022,succinylcarnitine (C4-DC)
rs924138,metabolite_278,5.003e-11,ABCC1,Yin et. al. 2022,cysteinylglycine
rs2062541,metabolite_100001593,2.409e-18,unknown,Yin et. al. 2022,glutarylcarnitine (C5-DC)
rs2062541,metabolite_100002293,1.457e-30,unknown,Yin et. al. 2022,phenylalanylphenylalanine
rs10163426,metabolite_100001731,7.888e-40,unknown,Yin et. al. 2022,indoleacetylglutamine
rs34655000,metabolite_100000010,1.454e-19,unknown,Yin et. al. 2022,3-phenylpropionate (hydrocinnamate)
rs34655000,metabolite_100001083,2.927e-41,unknown,Yin et. al. 2022,indolepropionate
rs34655000,metabolite_100001624,6.206e-11,unknown,Yin et. al. 2022,3-(3-hydroxyphenyl)propionate
rs34655000,metabolite_100006367,1.992e-15,unknown,Yin et. al. 2022,3-hydroxyhexanoate
rs34655000,metabolite_100006651,4.746e-16,unknown,Yin et. al. 2022,"trans-3,4-methyleneheptanoate"
rs9302387,metabolite_100001083,8.594e-13,unknown,Yin et. al. 2022,indolepropionate
rs193030024,metabolite_501,1.352e-16,unknown,Yin et. al. 2022,salicylate
rs537541334,metabolite_100001731,1.752e-30,unknown,Yin et. al. 2022,indoleacetylglutamine
rs142553905,metabolite_100000011,2.317e-19,unknown,Yin et. al. 2022,phenylacetate
rs58395451,metabolite_1022,1.773e-26,unknown,Yin et. al. 2022,picolinate
rs58395451,metabolite_1442,1.671e-12,ACSM1|ACSM2A|ACSM2B|ACSM3|ACSM5,Yin et. al. 2022,beta-hydroxyisovalerate
rs551952397,metabolite_1022,1.646e-54,unknown,Yin et. al. 2022,picolinate
rs551952397,metabolite_501,6.78e-13,unknown,Yin et. al. 2022,salicylate
rs8056693,metabolite_1022,6.181e-18,unknown,Yin et. al. 2022,picolinate
rs977186117,metabolite_100000011,6.217e-35,unknown,Yin et. al. 2022,phenylacetate
rs977186117,metabolite_1022,4.632e-95,unknown,Yin et. al. 2022,picolinate
rs200890336,metabolite_100000011,2.54e-14,unknown,Yin et. al. 2022,phenylacetate
rs978161,metabolite_100010850,2.217e-39,unknown,Yin et. al. 2022,4-hydroxyphenylacetylglutamine
rs397132,metabolite_100001731,3.713e-13,unknown,Yin et. al. 2022,indoleacetylglutamine
rs150476181,metabolite_1442,2.786e-15,unknown,Yin et. al. 2022,beta-hydroxyisovalerate
rs192218016,metabolite_1442,2.137e-36,unknown,Yin et. al. 2022,beta-hydroxyisovalerate
rs183383444,metabolite_100010850,1.904e-11,unknown,Yin et. al. 2022,4-hydroxyphenylacetylglutamine
rs143647521,metabolite_100006191,1.433e-11,SULT1A1|SULT1A2|SULT1A3|SULT1A4,Yin et. al. 2022,p-cresol glucuronide*
rs143647521,metabolite_100020409,9.196e-14,SULT1A1|SULT1A2|SULT1A3|SULT1A4,Yin et. al. 2022,ascorbic acid 3-sulfate*
rs4149383,metabolite_100020409,7.182e-43,SULT1A1|SULT1A2|SULT1A3|SULT1A4,Yin et. al. 2022,ascorbic acid 3-sulfate*
rs565817844,metabolite_100020409,1.314e-24,SULT1A1|SULT1A2|SULT1A3|SULT1A4,Yin et. al. 2022,ascorbic acid 3-sulfate*
rs559173203,metabolite_100020409,8.907e-17,SULT1A1|SULT1A2|SULT1A3|SULT1A4,Yin et. al. 2022,ascorbic acid 3-sulfate*
rs7500654,metabolite_100020409,1.112e-13,SULT1A1|SULT1A2|SULT1A3|SULT1A4,Yin et. al. 2022,ascorbic acid 3-sulfate*
rs564338845,metabolite_100020578,2.98e-14,SULT1A1|SULT1A2|SULT1A3|SULT1A4,Yin et. al. 2022,4-allylcatechol sulfate
rs117217055,metabolite_100020409,2.012e-14,SULT1A1|SULT1A2|SULT1A3|SULT1A4,Yin et. al. 2022,ascorbic acid 3-sulfate*
rs154435,metabolite_100000263,9.946e-20,GOT2,Yin et. al. 2022,imidazole lactate
rs839418,metabolite_100000774,4.398e-27,GOT2,Yin et. al. 2022,phenyllactate (PLA)
rs12924700,metabolite_100020219,4.429e-13,GOT2,Yin et. al. 2022,3-formylindole
rs66609725,metabolite_100000263,5.134e-99,GOT2,Yin et. al. 2022,imidazole lactate
rs66609725,metabolite_100000463,6.633e-23,GOT2,Yin et. al. 2022,indolelactate
rs66609725,metabolite_100000774,6.576e-87,GOT2,Yin et. al. 2022,phenyllactate (PLA)
rs12926241,metabolite_100020372,9.314e-12,GOT2,Yin et. al. 2022,3-indoleglyoxylic acid
rs12926241,metabolite_98,3.332e-15,GOT2,Yin et. al. 2022,kynurenate
rs12932254,metabolite_241,2.907e-20,GOT2,Yin et. al. 2022,phenylpyruvate
rs12923769,metabolite_235,8.628e-12,GOT2,Yin et. al. 2022,2-hydroxyphenylacetate
rs3961283,metabolite_100001593,9.241e-36,SLC7A6,Yin et. al. 2022,glutarylcarnitine (C5-DC)
rs6499167,metabolite_407,1.425e-19,SLC7A6,Yin et. al. 2022,lysine
rs7203220,metabolite_189,1.32e-21,SLC7A6,Yin et. al. 2022,"N6,N6,N6-trimethyllysine"
rs8055813,metabolite_100021123,1.551e-13,SLC7A6,Yin et. al. 2022,"hydroxy-N6,N6,N6-trimethyllysine*"
rs9746832,metabolite_1102,7.051e-11,TAT,Yin et. al. 2022,gamma-glutamyltyrosine
rs9746832,metabolite_815,5.307e-19,TAT,Yin et. al. 2022,tyrosine
rs144025042,metabolite_100004227,1.442e-20,unknown,Yin et. al. 2022,2-aminooctanoate
rs144025042,metabolite_100020204,5.933e-23,unknown,Yin et. al. 2022,N-acetyl-2-aminooctanoate*
rs144025042,metabolite_100020833,1.159e-22,unknown,Yin et. al. 2022,2-ketocaprylate
rs11860711,metabolite_340,2.252e-11,GCSH,Yin et. al. 2022,glycine
rs13331438,metabolite_100015966,4.276e-17,BCO1,Yin et. al. 2022,carotene diol (1)
rs13331438,metabolite_100015967,4.982e-14,BCO1,Yin et. al. 2022,carotene diol (2)
rs12926540,metabolite_100015968,2.212e-33,BCO1,Yin et. al. 2022,carotene diol (3)
rs11643509,metabolite_100015966,2.399e-122,BCO1,Yin et. al. 2022,carotene diol (1)
rs11643509,metabolite_100015967,6.51e-88,BCO1,Yin et. al. 2022,carotene diol (2)
rs35921096,metabolite_100000265,3.731e-16,SLC7A5,Yin et. al. 2022,kynurenine
rs57455079,metabolite_100000265,1.089e-33,SLC7A5,Yin et. al. 2022,kynurenine
rs1323373623,metabolite_2054,1.49e-11,ACSF3,Yin et. al. 2022,ethylmalonate
rs58188939,metabolite_2054,8.765e-27,ACSF3,Yin et. al. 2022,ethylmalonate
rs72817465,metabolite_2054,1.357e-46,ACSF3,Yin et. al. 2022,ethylmalonate
rs111857923,metabolite_1224,5.689e-74,DPEP1,Yin et. al. 2022,"cys-gly, oxidized"
rs72805578,metabolite_100002293,7.585e-26,DPEP1,Yin et. al. 2022,phenylalanylphenylalanine
rs459173,metabolite_278,6.535e-13,DPEP1,Yin et. al. 2022,cysteinylglycine
rs258341,metabolite_100003169,1.139e-22,DPEP1,Yin et. al. 2022,isoleucylglycine
rs258341,metabolite_278,2.309e-44,DPEP1,Yin et. al. 2022,cysteinylglycine
rs258340,metabolite_1022,3.956e-28,DPEP1,Yin et. al. 2022,picolinate
rs76317501,metabolite_1224,1.863e-32,DPEP1,Yin et. al. 2022,"cys-gly, oxidized"
rs201093864,metabolite_1224,9.24e-26,DPEP1,Yin et. al. 2022,"cys-gly, oxidized"
rs1126464,metabolite_1224,9.673e-15,DPEP1,Yin et. al. 2022,"cys-gly, oxidized"
rs375119976,metabolite_278,3.532e-20,DPEP1,Yin et. al. 2022,cysteinylglycine
rs193042029,metabolite_100006296,4.152e-12,GLTPD2,Yin et. al. 2022,"sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*"
rs79202680,metabolite_100002107,3.033e-15,GLTPD2,Yin et. al. 2022,palmitoyl sphingomyelin (d18:1/16:0)
rs79202680,metabolite_100005986,3.984e-23,GLTPD2,Yin et. al. 2022,"sphingomyelin (d18:1/24:1, d18:2/24:0)*"
rs79202680,metabolite_100006290,4.877e-28,GLTPD2,Yin et. al. 2022,"sphingomyelin (d18:1/20:0, d16:1/22:0)*"
rs79202680,metabolite_100006294,1.846e-38,GLTPD2,Yin et. al. 2022,behenoyl sphingomyelin (d18:1/22:0)*
rs79202680,metabolite_100006295,3.571e-15,GLTPD2,Yin et. al. 2022,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*"
rs79202680,metabolite_100006298,4.425e-42,GLTPD2,Yin et. al. 2022,lignoceroyl sphingomyelin (d18:1/24:0)
rs79202680,metabolite_100008954,1.529e-70,GLTPD2,Yin et. al. 2022,palmitoyl dihydrosphingomyelin (d18:0/16:0)*
rs79202680,metabolite_100008955,1.608e-52,GLTPD2,Yin et. al. 2022,tricosanoyl sphingomyelin (d18:1/23:0)*
rs79202680,metabolite_100008956,5.278e-20,GLTPD2,Yin et. al. 2022,"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*"
rs79202680,metabolite_100009025,3.982e-25,GLTPD2,Yin et. al. 2022,"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*"
rs79202680,metabolite_100009026,1.173e-47,GLTPD2,Yin et. al. 2022,behenoyl dihydrosphingomyelin (d18:0/22:0)*
rs79202680,metabolite_100009027,1.248e-40,GLTPD2,Yin et. al. 2022,"sphingomyelin (d18:0/18:0, d19:0/17:0)*"
rs79202680,metabolite_100009038,4.456e-37,GLTPD2,Yin et. al. 2022,myristoyl dihydrosphingomyelin (d18:0/14:0)*
rs79202680,metabolite_100015786,2.648e-52,GLTPD2,Yin et. al. 2022,"sphingomyelin (d18:0/20:0, d16:0/22:0)*"
rs79202680,metabolite_100015787,1.325e-15,GLTPD2,Yin et. al. 2022,"sphingomyelin (d18:1/19:0, d19:1/18:0)*"
rs79202680,metabolite_100015792,2.144e-26,GLTPD2,Yin et. al. 2022,"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*"
rs79202680,metabolite_100021162,6.389e-12,GLTPD2,Yin et. al. 2022,palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)
rs149066790,metabolite_1538,5.608e-16,unknown,Yin et. al. 2022,stearoyl sphingomyelin (d18:1/18:0)
rs34556430,metabolite_100004541,2.337e-25,SLC52A1,Yin et. al. 2022,acisoga
rs34556430,metabolite_100020487,1.583e-14,SLC52A1,Yin et. al. 2022,N-acetyl-isoputreanine
rs3744404,metabolite_100006051,6.371e-11,ACADVL,Yin et. al. 2022,myristoleoylcarnitine (C14:1)*
rs13894,metabolite_100001734,4.773e-80,SAT2,Yin et. al. 2022,N6-acetyllysine
rs858520,metabolite_100001734,1.434e-34,SAT2,Yin et. al. 2022,N6-acetyllysine
rs201103784,metabolite_100000580,9.433e-18,SLC5A10,Yin et. al. 2022,"1,5-anhydroglucitol (1,5-AG)"
rs117355297,metabolite_100000580,4.521e-14,SLC5A10,Yin et. al. 2022,"1,5-anhydroglucitol (1,5-AG)"
rs71147354,metabolite_100004635,4.327e-12,unknown,Yin et. al. 2022,methionine sulfone
rs4793665,metabolite_100009264,1.375e-19,ABCC3,Yin et. al. 2022,glycochenodeoxycholate glucuronide (1)
rs35359468,metabolite_100001668,6.898e-11,unknown,Yin et. al. 2022,1-ribosyl-imidazoleacetate*
rs201899452,metabolite_100001416,2.413e-13,NT5C,Yin et. al. 2022,orotidine
rs77950538,metabolite_100001416,7.452e-193,NT5C,Yin et. al. 2022,orotidine
rs55738776,metabolite_100006614,1.795e-11,ACOX1,Yin et. al. 2022,adipoylcarnitine (C6-DC)
rs77585764,metabolite_100006378,5.575e-23,AFMID,Yin et. al. 2022,N-acetylkynurenine (2)
rs72897835,metabolite_100006378,1.676e-11,AFMID,Yin et. al. 2022,N-acetylkynurenine (2)
rs3786349,metabolite_100001007,1.395e-18,ENOSF1,Yin et. al. 2022,ribonate
rs3786349,metabolite_100006115,5.935e-11,ENOSF1,Yin et. al. 2022,arabonate/xylonate
rs1322757032,metabolite_100009139,1.685e-15,unknown,Yin et. al. 2022,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*
rs1268367147,metabolite_100001383,1.238e-21,ABHD3,Yin et. al. 2022,1-myristoyl-GPC (14:0)
rs1268367147,metabolite_100001563,6.689e-17,ABHD3,Yin et. al. 2022,2-myristoyl-GPC (14:0)*
rs1268367147,metabolite_100009139,8.369e-23,ABHD3,Yin et. al. 2022,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*
rs1268367147,metabolite_100009140,1.338e-22,ABHD3,Yin et. al. 2022,1-myristoyl-2-docosahexaenoyl-GPC (14:0/22:6)*
rs577877725,metabolite_100001383,7.888e-21,ABHD3,Yin et. al. 2022,1-myristoyl-GPC (14:0)
rs577877725,metabolite_100001563,3.119e-20,ABHD3,Yin et. al. 2022,2-myristoyl-GPC (14:0)*
rs577877725,metabolite_100009138,1.813e-28,ABHD3,Yin et. al. 2022,1-myristoyl-2-linoleoyl-GPC (14:0/18:2)*
rs181026394,metabolite_100009138,2.812e-32,ABHD3,Yin et. al. 2022,1-myristoyl-2-linoleoyl-GPC (14:0/18:2)*
rs555147796,metabolite_100009140,7.74e-13,ABHD3,Yin et. al. 2022,1-myristoyl-2-docosahexaenoyl-GPC (14:0/22:6)*
rs34047090,metabolite_498,3.37e-13,TTR,Yin et. al. 2022,retinol (Vitamin A)
rs16967566,metabolite_100001456,3.203e-11,MOCOS,Yin et. al. 2022,7-methylguanine
rs10438978,metabolite_100000616,1.47e-11,LIPG,Yin et. al. 2022,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
rs1540037,metabolite_100008994,4.595e-12,LIPG,Yin et. al. 2022,1-stearoyl-2-linoleoyl-GPI (18:0/18:2)
rs538509310,metabolite_100000616,9.368e-14,LIPG,Yin et. al. 2022,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
rs535211063,metabolite_100008994,5.867e-13,LIPG,Yin et. al. 2022,1-stearoyl-2-linoleoyl-GPI (18:0/18:2)
rs72927764,metabolite_100021726,1.06e-12,unknown,Yin et. al. 2022,GlcNAc sulfate conjugate of C21H34O2 steroid**
rs3752246,metabolite_100009030,1.339e-19,ABCA7,Yin et. al. 2022,lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)
rs3752246,metabolite_100015620,3.554e-47,ABCA7,Yin et. al. 2022,lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*
rs7258249,metabolite_100015787,3.358e-23,CERS4,Yin et. al. 2022,"sphingomyelin (d18:1/19:0, d19:1/18:0)*"
rs2336171,metabolite_100006290,1.173e-38,CERS4,Yin et. al. 2022,"sphingomyelin (d18:1/20:0, d16:1/22:0)*"
rs147599379,metabolite_100001882,9.636e-13,CERS4,Yin et. al. 2022,glycosyl-N-stearoyl-sphingosine (d18:1/18:0)
rs899205,metabolite_100002106,5.557e-25,CERS4,Yin et. al. 2022,"sphingomyelin (d18:1/18:1, d18:2/18:0)"
rs899205,metabolite_100006292,1.464e-48,CERS4,Yin et. al. 2022,"sphingomyelin (d18:1/20:1, d18:2/20:0)*"
rs398120792,metabolite_1538,3.84e-27,CERS4,Yin et. al. 2022,stearoyl sphingomyelin (d18:1/18:0)
rs2927721,metabolite_1547,3.062e-11,CERS4,Yin et. al. 2022,N-stearoyl-sphingosine (d18:1/18:0)*
rs11669485,metabolite_100002106,1.411e-13,CERS4,Yin et. al. 2022,"sphingomyelin (d18:1/18:1, d18:2/18:0)"
rs11669485,metabolite_100006292,3.292e-20,CERS4,Yin et. al. 2022,"sphingomyelin (d18:1/20:1, d18:2/20:0)*"
rs7248003,metabolite_100006290,1.012e-12,CERS4,Yin et. al. 2022,"sphingomyelin (d18:1/20:0, d16:1/22:0)*"
rs7248003,metabolite_100015787,5.49e-13,CERS4,Yin et. al. 2022,"sphingomyelin (d18:1/19:0, d19:1/18:0)*"
rs7248003,metabolite_1538,1.058e-13,CERS4,Yin et. al. 2022,stearoyl sphingomyelin (d18:1/18:0)
rs538709175,metabolite_100006290,3.343e-21,CERS4,Yin et. al. 2022,"sphingomyelin (d18:1/20:0, d16:1/22:0)*"
rs538709175,metabolite_100006292,4.29e-29,CERS4,Yin et. al. 2022,"sphingomyelin (d18:1/20:1, d18:2/20:0)*"
rs538709175,metabolite_1538,6.966e-19,CERS4,Yin et. al. 2022,stearoyl sphingomyelin (d18:1/18:0)
rs11881630,metabolite_100002106,4.986e-11,CERS4,Yin et. al. 2022,"sphingomyelin (d18:1/18:1, d18:2/18:0)"
rs11881630,metabolite_100006292,3.229e-20,CERS4,Yin et. al. 2022,"sphingomyelin (d18:1/20:1, d18:2/20:0)*"
